date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:21	78/78	---M--	200	added ('OK')	text/plain	etag:%222d60dc7-4e-4e84a71e687c0%22	http://hexagonyc.fr/robots.txt		(from )
12:34:21	44395/44395	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Mar%202018%2010:34:20%20GMT	http://hexagonyc.fr/Istrium/	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/index.html	(from )
12:34:22	69597/69597	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258d026fb-10fdd%22	https://code.jquery.com/jquery-3.2.1.slim.min.js	C:/Users/Leo/Downloads/Istriumfinal/code.jquery.com/jquery-3.2.1.slim.min.js	(from http://hexagonyc.fr/Istrium/)
12:34:23	1332/1332	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2031%20Mar%202018%2010:34:22%20GMT	http://hexagonyc.fr/Istrium/css/animate.css	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/css/animate.4.delayed	(from http://hexagonyc.fr/Istrium/)
12:34:23	19188/19188	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a963222-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	C:/Users/Leo/Downloads/Istriumfinal/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from http://hexagonyc.fr/Istrium/)
12:34:23	15551/15551	---M--	200	added ('OK')	text/css	etag:%2212c80ad-3cbf-568a3f6a7eccb%22	http://hexagonyc.fr/Istrium/css/my.css	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/css/my.css	(from http://hexagonyc.fr/Istrium/)
12:34:24	9410/9410	---M--	200	added ('OK')	text/css	etag:%2212cb551-24c2-568a3f6a95fe3%22	http://hexagonyc.fr/Istrium/css/progress-bar.css	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/css/progress-bar.css	(from http://hexagonyc.fr/Istrium/)
12:34:24	2224/2224	---M--	200	added ('OK')	text/css	etag:%2212c678d-8b0-568a3f6a39b53%22	http://hexagonyc.fr/Istrium/css/roadmap.css	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/css/roadmap.css	(from http://hexagonyc.fr/Istrium/)
12:34:24	25881/25881	---M--	200	added ('OK')	text/css	etag:%2212cb256-6519-568a3f6aa6d6b%22	http://hexagonyc.fr/Istrium/css/animated-text.css	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/css/animated-text.css	(from http://hexagonyc.fr/Istrium/)
12:34:25	13816/13816	---M--	200	added ('OK')	text/css	etag:%2212ca574-35f8-568a3f6a7779b%22	http://hexagonyc.fr/Istrium/css/responsive.css	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/css/responsive.css	(from http://hexagonyc.fr/Istrium/)
12:34:26	21658/21658	---MCZ	200	added ('OK')	text/css	etag:W/%221f9e9d1a5a1d347d945ef4b7727f2ea0%22	//netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	C:/Users/Leo/Downloads/Istriumfinal/netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	(from http://hexagonyc.fr/Istrium/)
12:34:27	2021/2021	---M--	200	added ('OK')	application/javascript	etag:%2212c7b89-7e5-56890289234fb%22	http://hexagonyc.fr/Istrium/js/animations.js	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/js/animations.js	(from http://hexagonyc.fr/Istrium/)
12:34:27	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%22450fc463b8b1a349df717056fbb3e078%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	C:/Users/Leo/Downloads/Istriumfinal/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	(from http://hexagonyc.fr/Istrium/)
12:34:28	2532/2532	---M--	200	added ('OK')	application/javascript	etag:%2212c7844-9e4-5689028a1a233%22	http://hexagonyc.fr/Istrium/vendor/jquery-easing/jquery.easing.min.js	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/vendor/jquery-easing/jquery.easing.min.js	(from http://hexagonyc.fr/Istrium/)
12:34:28	6552/6552	---M--	200	added ('OK')	application/javascript	etag:%2212cb266-1998-568902890b62b%22	http://hexagonyc.fr/Istrium/js/animated-text.js	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/js/animated-text.js	(from http://hexagonyc.fr/Istrium/)
12:34:29	121858/121858	---M--	200	added ('OK')	image/svg+xml	etag:%2212ca9e1-1dc02-5689028841f83%22	http://hexagonyc.fr/Istrium/assets/shapes/toutlesite.svg	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/assets/shapes/toutlesite.svg	(from http://hexagonyc.fr/Istrium/)
12:34:29	3254/3254	---M--	200	added ('OK')	image/svg+xml	etag:%2212c3a0a-cb6-5689028858eb3%22	http://hexagonyc.fr/Istrium/assets/shapes/icon1.svg	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/assets/shapes/icon1.svg	(from http://hexagonyc.fr/Istrium/)
12:34:30	3083/3083	---M--	200	added ('OK')	image/svg+xml	etag:%2212c33d3-c0b-56890288340db%22	http://hexagonyc.fr/Istrium/assets/shapes/icon2.svg	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/assets/shapes/icon2.svg	(from http://hexagonyc.fr/Istrium/)
12:34:30	4880/4880	---M--	200	added ('OK')	image/svg+xml	etag:%2212c33d6-1310-5689028854c4b%22	http://hexagonyc.fr/Istrium/assets/shapes/icon3.svg	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/assets/shapes/icon3.svg	(from http://hexagonyc.fr/Istrium/)
12:34:37	67742/67742	---M--	200	added ('OK')	application/javascript	etag:%2212c78f0-1089e-5689028cb000b%22	http://hexagonyc.fr/Istrium/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/vendor/bootstrap/js/bootstrap.bundle.min.js	(from http://hexagonyc.fr/Istrium/)
12:34:37	453603/453603	---MCZ	200	added ('OK')	application/x-javascript	etag:%226ebe3-5688d8fb546f5-gzip%22	https://canvasjs.com/assets/script/canvasjs.min.js	C:/Users/Leo/Downloads/Istriumfinal/canvasjs.com/assets/script/canvasjs.min.js	(from http://hexagonyc.fr/Istrium/)
12:34:39	4707/4707	---M--	200	added ('OK')	application/javascript	etag:%2212c80b4-1263-568902892d523%22	http://hexagonyc.fr/Istrium/js/my.js	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/js/my.js	(from http://hexagonyc.fr/Istrium/)
12:34:39	86927/86927	---M--	200	added ('OK')	application/javascript	etag:%2212c7853-1538f-5689028ab6e03%22	http://hexagonyc.fr/Istrium/vendor/jquery/jquery.min.js	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/vendor/jquery/jquery.min.js	(from http://hexagonyc.fr/Istrium/)
12:34:40	1513/1513	---M--	200	added ('OK')	image/svg+xml	etag:%2212ca9c5-5e9-568902880cbf3%22	http://hexagonyc.fr/Istrium/assets/shapes/bubble.svg	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/assets/shapes/bubble.svg	(from http://hexagonyc.fr/Istrium/css/my.css)
12:34:40	2068/2068	---M--	200	added ('OK')	image/svg+xml	etag:%2212ca919-814-568902881a2cb%22	http://hexagonyc.fr/Istrium/assets/shapes/mobile-bg.svg	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/assets/shapes/mobile-bg.svg	(from http://hexagonyc.fr/Istrium/css/my.css)
12:34:42	43731/43731	---M--	200	added ('OK')	application/javascript	etag:%2212c7d9e-aad3-568902894f033%22	http://hexagonyc.fr/Istrium/js/particles.js	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/js/particles.js	(from http://hexagonyc.fr/Istrium/)
12:35:17	951305/951305	---M--	200	added ('OK')	image/jpeg	etag:%2212c4901-e8409-56890287eacfb%22	http://hexagonyc.fr/Istrium/assets/lr1-56.jpg	C:/Users/Leo/Downloads/Istriumfinal/hexagonyc.fr/Istrium/assets/lr1-56.jpg	(from http://hexagonyc.fr/Istrium/)
